iter	Logloss	Accuracy	Precision	Recall	F1
0	0.6616964693	0.7876879317	0.6701164295	0.3960244648	0.4978375781
1	0.6335445648	0.804754165	0.6887921654	0.4839449541	0.5684777728
2	0.6070935567	0.8033319789	0.6936218679	0.4655963303	0.5571820677
3	0.5843152349	0.8037383178	0.6925675676	0.4701834862	0.5601092896
4	0.5677267691	0.8049573344	0.7004608295	0.4648318043	0.5588235294
5	0.5539364648	0.8041446566	0.7	0.4602446483	0.5553505535
6	0.5373994194	0.804754165	0.7029239766	0.4594801223	0.5557096625
7	0.5248274425	0.8045509955	0.7035294118	0.4571865443	0.5542168675
8	0.5137918193	0.8049573344	0.7037470726	0.4594801223	0.5559666975
9	0.5041770101	0.8049573344	0.7061611374	0.4556574924	0.5539033457
10	0.4939454264	0.804754165	0.7019790454	0.4610091743	0.5565297647
11	0.4850769753	0.8082080455	0.7054176072	0.4778287462	0.5697356427
12	0.4776002205	0.8096302316	0.7086614173	0.4816513761	0.5735093309
13	0.4699318055	0.8098334011	0.7062084257	0.4870030581	0.5764705882
14	0.4632993058	0.8094270622	0.7041942605	0.4877675841	0.57633243
15	0.4581122398	0.808411215	0.703003337	0.4831804281	0.5727231536
16	0.452965622	0.8086143844	0.701986755	0.4862385321	0.5745257453
17	0.4483515657	0.8098334011	0.7039473684	0.4908256881	0.5783783784
18	0.4444700267	0.8108492483	0.7078280044	0.4908256881	0.5796839729
19	0.4403748956	0.8104429094	0.7053669222	0.4923547401	0.5799189554
20	0.4361636272	0.8102397399	0.7041484716	0.4931192661	0.5800359712
21	0.4333827597	0.8094270622	0.7019650655	0.4915902141	0.5782374101
22	0.4301675407	0.8092238927	0.7011995638	0.4915902141	0.5779775281
23	0.4270486464	0.8108492483	0.7046688382	0.49617737	0.5823239121
24	0.4248958263	0.8120682649	0.707027027	0.5	0.5857590685
25	0.4219784159	0.8128809427	0.7096424702	0.500764526	0.5871806365
26	0.4194085803	0.8130841121	0.7086021505	0.50382263	0.5889186774
27	0.4172404309	0.813490451	0.7096774194	0.504587156	0.5898123324
28	0.4156315071	0.8143031288	0.7095744681	0.5099388379	0.5934163701
29	0.4137099627	0.8136936205	0.7077577046	0.5091743119	0.5922632281
30	0.4118764213	0.8143031288	0.7082452431	0.5122324159	0.594498669
