iter	Passed	Remaining
0	148	147858
1	150	75172
2	152	50769
3	154	38581
4	156	31207
5	158	26259
6	160	22800
7	163	20225
8	165	18219
9	167	16581
10	170	15316
11	172	14236
12	175	13315
13	178	12538
14	180	11844
15	182	11233
16	184	10688
17	186	10198
18	188	9754
19	191	9361
20	193	9010
21	195	8684
22	197	8384
23	199	8121
24	201	7873
25	203	7639
26	206	7437
27	208	7235
28	210	7052
29	212	6878
30	214	6714
31	216	6563
32	219	6418
33	221	6287
34	223	6168
35	225	6047
36	228	5939
37	230	5836
38	232	5737
39	235	5646
40	237	5555
41	239	5471
42	241	5385
43	244	5303
44	246	5228
45	248	5155
46	250	5088
47	253	5023
48	255	4955
49	257	4895
50	259	4832
51	261	4773
52	264	4726
53	266	4670
54	268	4620
55	271	4571
56	273	4526
57	275	4480
58	278	4434
59	280	4390
60	282	4344
61	284	4304
62	286	4268
63	289	4229
64	291	4193
65	293	4154
66	295	4118
67	298	4086
68	300	4050
69	302	4016
70	304	3978
71	306	3947
72	308	3918
73	311	3893
74	313	3867
75	316	3846
76	318	3819
77	321	3797
78	323	3772
79	325	3748
80	328	3725
81	330	3701
82	333	3683
83	335	3661
84	338	3640
85	340	3617
86	342	3594
87	345	3577
88	347	3555
89	349	3536
90	352	3518
91	354	3499
92	356	3481
93	359	3460
94	361	3445
95	363	3425
96	366	3407
97	368	3390
98	370	3371
99	372	3355
100	374	3334
101	376	3317
102	379	3304
103	381	3287
104	383	3271
105	386	3257
106	388	3243
107	391	3230
108	393	3215
109	395	3203
110	397	3183
111	399	3167
112	401	3152
113	403	3138
114	405	3123
115	408	3111
116	410	3096
117	412	3081
118	414	3068
119	416	3054
120	418	3041
121	420	3027
122	422	3013
123	424	3000
124	426	2987
125	428	2974
126	430	2962
127	432	2949
128	434	2936
129	437	2925
130	439	2913
131	441	2901
132	443	2890
133	445	2878
134	447	2869
135	449	2857
136	451	2846
137	454	2836
138	456	2827
139	458	2816
140	460	2808
141	463	2797
142	465	2787
143	467	2777
144	469	2766
145	471	2757
146	473	2747
147	475	2737
148	477	2727
149	479	2717
150	481	2708
151	483	2698
152	485	2688
153	487	2678
154	489	2670
155	491	2660
156	494	2652
157	496	2644
158	498	2635
159	500	2628
160	502	2619
161	504	2609
162	506	2602
163	508	2593
164	510	2584
165	512	2576
166	514	2567
167	517	2561
168	519	2553
169	521	2544
170	523	2537
171	525	2528
172	527	2520
173	529	2512
174	531	2505
175	533	2497
176	535	2491
177	538	2485
178	540	2479
179	542	2472
180	544	2465
181	547	2458
182	549	2451
183	551	2443
184	553	2437
185	555	2430
186	557	2423
187	559	2416
188	561	2409
189	563	2403
190	565	2397
191	567	2389
192	570	2383
193	572	2377
194	574	2371
195	576	2365
196	578	2358
197	580	2352
198	582	2346
199	584	2339
200	587	2334
201	589	2329
202	591	2322
203	593	2317
204	595	2310
205	598	2305
